epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,32.4186,2.61053,1.79554,1.21881,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00125599,0.00125599,0.00125599
37,33.4255,2.44606,1.78515,1.37071,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00128655,0.00128655,0.00128655
38,34.2793,2.34431,1.80109,1.26408,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00131685,0.00131685,0.00131685
39,35.1754,2.48154,1.69617,1.33008,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00134688,0.00134688,0.00134688
40,36.1152,2.54224,1.72228,1.29893,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00137665,0.00137665,0.00137665
41,36.9617,2.52076,1.61154,1.22953,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00140616,0.00140616,0.00140616
42,37.8289,2.42943,1.6748,1.2979,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.0014354,0.0014354,0.0014354
43,38.7459,2.52827,1.63871,1.267,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00146438,0.00146438,0.00146438
44,39.6404,2.45313,1.67554,1.26569,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00149309,0.00149309,0.00149309
45,40.504,2.5186,1.67385,1.2911,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00152154,0.00152154,0.00152154
46,41.4469,2.56783,1.68436,1.28247,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00154973,0.00154973,0.00154973
47,42.3358,2.51133,1.51041,1.25875,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00157765,0.00157765,0.00157765
48,43.3021,2.48907,1.58844,1.17402,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00160531,0.00160531,0.00160531
49,44.1918,2.47972,1.67682,1.29647,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.0016327,0.0016327,0.0016327
50,45.0472,2.39908,1.55607,1.21848,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00165983,0.00165983,0.00165983
51,45.9615,2.37179,1.59651,1.13442,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00167,0.00167,0.00167
52,46.8496,2.42851,1.74064,1.19348,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.0016634,0.0016634,0.0016634
53,47.7297,2.5546,2.0573,1.23515,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.0016568,0.0016568,0.0016568
54,48.611,2.57421,1.60322,1.31678,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.0016502,0.0016502,0.0016502
55,49.5368,2.4383,1.48832,1.11024,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.0016436,0.0016436,0.0016436
56,50.5026,2.53748,1.51032,1.1227,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.001637,0.001637,0.001637
57,51.5218,2.68686,1.63017,1.1872,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0016304,0.0016304,0.0016304
58,52.3915,2.47005,1.40566,1.23168,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0016238,0.0016238,0.0016238
59,53.3093,2.33884,1.45935,1.23312,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0016172,0.0016172,0.0016172
60,54.2143,2.2512,1.64583,1.29295,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0016106,0.0016106,0.0016106
61,55.209,2.73961,1.55278,1.22337,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.001604,0.001604,0.001604
62,56.1622,2.54147,1.45777,1.1981,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0015974,0.0015974,0.0015974
63,57.0128,2.58828,1.62506,1.41344,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0015908,0.0015908,0.0015908
64,57.9333,2.56124,1.55314,1.21809,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0015842,0.0015842,0.0015842
65,58.912,2.52545,1.53767,1.18606,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0015776,0.0015776,0.0015776
66,59.8466,2.32824,1.62683,1.2105,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.001571,0.001571,0.001571
67,60.751,2.77185,1.67855,1.2381,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0015644,0.0015644,0.0015644
68,61.6678,2.87023,1.90584,1.35012,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0015578,0.0015578,0.0015578
69,62.5589,2.31144,1.50309,1.2219,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0015512,0.0015512,0.0015512
70,63.4485,2.51961,1.49618,1.24091,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.0015446,0.0015446,0.0015446
71,64.3638,2.34753,1.47762,1.2264,0.47971,0.48197,0.3946,0.13387,2.32305,3.11424,1.23665,0.001538,0.001538,0.001538
72,65.3479,2.37367,1.44213,1.17391,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0015314,0.0015314,0.0015314
73,66.3105,2.3044,1.35445,1.15519,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0015248,0.0015248,0.0015248
74,67.3272,2.42887,1.434,1.21267,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0015182,0.0015182,0.0015182
75,68.2415,2.66767,1.66174,1.25301,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0015116,0.0015116,0.0015116
76,69.1726,2.41046,1.43373,1.22341,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.001505,0.001505,0.001505
